id,title,description,status,priority,project_id,assignee_id,due_date,created_at,updated_at,updated_by
ab460acc-eb6a-4b35-8da1-97424391c0c2,Setup Development Environment,Configure local development environment with required tools,completed,high,f9ddd0fc-aac1-43d0-9857-686bd88f489b,b671eb82-abc1-424f-8bdf-30cc749e5ec9,,2025-08-15 04:30:12.686474,2025-08-15 04:30:12.686474,
5b450331-0de5-4160-a6f7-ef5cea5be559,Design System Review,Review and update the design system components,in_progress,medium,c25bfe05-8148-4c12-be5e-53b2b1937d4d,b671eb82-abc1-424f-8bdf-30cc749e5ec9,,2025-08-15 04:30:14.907508,2025-08-15 04:30:14.907508,
48737596-7c82-4b5c-aadf-9e3a4110647b,Design Mobile UI Mockups,Create wireframes and mockups for the mobile app interface,todo,high,6307e925-3f0a-412f-ba20-6963855a8edf,,,2025-08-15 04:44:05.642589,2025-08-15 04:44:05.642589,
438f0d2a-b8cd-4d0a-af97-0af9dcbb8070,task1,,todo,medium,fc3c1224-d26f-493e-b0d2-102ca8bc11a3,,2025-08-22 00:00:00,2025-08-15 21:15:37.858212,2025-08-15 21:15:37.858212,
5e262da8-d7ec-4f32-a895-7705793a9d58,Call Scarlett and Kayla,Reach out to Scarlett and Kayla as part of the meeting follow-up tasks.,completed,medium,f982c164-c83a-4de9-94ea-d15c123e5165,dde53e65-d861-4340-b0a6-3417e0e7b290,2025-08-20 00:00:00,2025-08-20 16:36:26.018425,2025-08-22 01:35:39.082,
f774d724-21a6-430e-b720-779e9e23ae2f,Coordinate evening activities for summit,Work with Marga to finalize three or four evening activities for the summit and get pricing details.,todo,medium,f982c164-c83a-4de9-94ea-d15c123e5165,dde53e65-d861-4340-b0a6-3417e0e7b290,,2025-08-20 16:36:25.894192,2025-08-20 16:36:25.894192,
41bad04b-e9fb-4273-a50c-2ed4a5d0fe01,Send email to Central Florida leaders to confirm stay,Email all Central Florida leaders to determine who wants to stay at the summit to finalize accommodation bookings.,in_progress,high,f982c164-c83a-4de9-94ea-d15c123e5165,dde53e65-d861-4340-b0a6-3417e0e7b290,,2025-08-20 16:36:25.794015,2025-08-20 17:07:53.028,
cf8b2775-fd14-4888-8bb1-f4fad9447b7f,Finalize transportation arrangements,Confirm with Gary or Juliana about the transportation arrangements once flights and times are finalized.,in_progress,high,f982c164-c83a-4de9-94ea-d15c123e5165,dde53e65-d861-4340-b0a6-3417e0e7b290,2025-09-05 00:00:00,2025-08-20 16:36:25.968894,2025-08-26 02:04:09.023,
ede34a9d-50ed-4274-90ec-52a0a6b405b4,Set up Kahoot trivia for transportation entertainment,Develop a Kahoot trivia game to entertain participants during transport to the ranch.,todo,low,f982c164-c83a-4de9-94ea-d15c123e5165,dde53e65-d861-4340-b0a6-3417e0e7b290,2025-09-04 00:00:00,2025-08-20 16:36:25.943681,2025-08-26 02:04:32.616,
74a17bf5-2a86-4ec6-9f83-b330fc80bb99,Plan your week- HK,Plan week- Send to team ,completed,high,6600c523-90d2-4710-ad03-13997621fe80,,2025-08-26 00:00:00,2025-08-25 15:16:32.695635,2025-08-27 23:05:48.64,
